OACI,CIAD,Nome,Municipio,UF,Tipo
SBAA,PA0008,CONCEIÇÃO DO ARAGUAIA,CONCEIÇÃO DO ARAGUAIA,PA,Publico
SBAE,SP0010,BAURU/AREALVA,BAURU,SP,Publico
SBAQ,SP0012,BARTOLOMEU DE GUSMÃO,ARARAQUARA,SP,Publico
SBAR,SE0001,SANTA MARIA,ARACAJU,SE,Publico
SBAT,MT0003,PILOTO OSVALDO MARQUES DIAS,ALTA FLORESTA,MT,Publico
SBAU,SP0009,ARAÇATUBA,ARAÇATUBA,SP,Publico
SBAX,MG0008,ROMEU ZEMA,ARAXÁ,MG,Publico
SBBE,PA0001,INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO,BELÉM,PA,Publico
SBBG,RS0010,COMANDANTE GUSTAVO KRAEMER,BAGÉ,RS,Publico
SBBH,MG0003,PAMPULHA - CARLOS DRUMMOND DE ANDRADE,BELO HORIZONTE,MG,Publico
SBBI,PR0006,BACACHERI,CURITIBA,PR,Publico
SBBP,SP0036,ESTADUAL ARTHUR SIQUEIRA,BRAGANÇA PAULISTA,SP,Publico
SBBR,DF0001,PRESIDENTE JUSCELINO KUBITSCHEK,BRASÍLIA,DF,Publico
SBBU,SP0017,BAURU,BAURU,SP,Publico
SBBV,RR0001,ATLAS BRASIL CANTANHEDE,BOA VISTA,RR,Publico
SBBW,MT0008,BARRA DO GARÇAS,BARRA DO GARÇAS,MT,Publico
SBCA,PR0005,AEROPORTO REGIONAL DO OESTE - CEL. ADALBERTO MENDES DA SILVA,CASCAVEL,PR,Publico
SBCB,RJ0003,CABO FRIO,CABO FRIO,RJ,Publico
SBCD,SC0006,PREFEITO DR. CARLOS ALBERTO DA COSTA NEVES,CAÇADOR,SC,Publico
SBCF,MG0001,TANCREDO NEVES,BELO HORIZONTE,MG,Publico
SBCG,MS0001,CAMPO GRANDE,CAMPO GRANDE,MS,Publico
SBCH,SC0003,SERAFIN ENOSS BERTASO,CHAPECÓ,SC,Publico
SBCI,MA0003,BRIGADEIRO LYSIAS AUGUSTO RODRIGUES,CAROLINA,MA,Publico
SBCJ,PA0006,CARAJÁS,PARAUAPEBAS,PA,Publico
SSIM,SC0009,FORQUILHINHA-CRICIÚMA,FORQUILHINHA,SC,Publico
SBCN,GO0003,NELSON RODRIGUES GUIMARÃES,CALDAS NOVAS,GO,Publico
SBCP,RJ0006,BARTOLOMEU LISANDRO,CAMPOS DOS GOYTACAZES,RJ,Publico
SBCR,MS0009,CORUMBÁ,CORUMBÁ,MS,Publico
SBCT,PR0001,AFONSO PENA,CURITIBA,PR,Publico
SBCX,RS0007,HUGO CANTERGIANI,CAXIAS DO SUL,RS,Publico
SBCY,MT0001,MARECHAL RONDON,CUIABÁ,MT,Publico
SSCL,MS0018,CASSILÂNDIA,CASSILÂNDIA,MS,Publico
SBDB,MS0004,AERÓDROMO PÚBLICO DE BONITO,BONITO,MS,Publico
SBDN,SP0005,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,SP,Publico
SBDO,MS0008,DOURADOS,DOURADOS,MS,Publico
SBEG,AM0001,EDUARDO GOMES,MANAUS,AM,Publico
