"Código OACI","CIAD","Id to Tipo de Uso","Nome","Município","UF","Longitude","Latitude","Altitude","Operação Diurna","Operação Noturna","Designação 1","Comprimento 1","Largura 1","Resistência 1","Superfície 1","Designação 2","Comprimento 2","Largura 2","Resistência 2","Superfície 2","Portaria de Registro","Link Portaria"
"","MS0711",1,"FAZENDA CORDILHEIRA","MIRANDA","MS","056°53'07""W","19°57'13""S","146 m","VFR","Sem Operação","01/19","1000 m","18 m","5700 Kg /   0,50 MPa","Grama","01/19","1000 m","18 m","5700 Kg /   0,50 MPa","Grama","https://pergamum.anac.gov.br/arquivos/PA2023-12.220.pdf","PA2023-12.220"
"SDQU","PI0016",1,"Fazenda Colorado","BOM JESUS","PI","044°48'24""W","09°15'21""S","643 m","","","","1300 m","30 m","5600 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-9605.pdf","PA2022-9605"
"SJKB","MT0190",1,"Fazenda Adelaide","BRASNORTE","MT","058°01'33""W","13°05'15""S","469 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2017-0576.pdf","PA2017-0576"
"SSBQ","MT0281",1,"Fazenda Brusque","SANTA CRUZ DO XINGU","MT","052°17'13""W","10°08'59""S","300 m","VFR","Sem Operação","","950 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10322.pdf","PA2023-10322"
"SJDG","SP1270",1,"Jorge de Barros Carvalho","SALTO GRANDE","SP","049°53'29""W","22°53'15""S","476 m","VFR","Sem Operação","","600 m","18 m","5500 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-278.pdf","PA2020-278"
"","PA0387",1,"Fazenda Mandarim","ABAETETUBA","PA","048°47'31,28""W","01°47'39,55""S","16 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-13.078.pdf","PA2023-13.078"
"","AM0036",1,"Aldeia","BORBA","AM","059°47'24,1""W","06°28'01,16""S","113 m","","","","800 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.464.pdf","PA2023-12.464"
"SDER","SP0096",1,"Fazenda Entre Rios","SUD MENNUCCI","SP","050°51'18""W","20°45'56""S","370 m","VFR","Sem Operação","","500 m","23 m","5000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3769.pdf","PA2020-3769"
"SSMC","MS0305",1,"Fazenda São Miguel da Catequese","NOVA ANDRADINA","MS","053°31'12""W","22°04'55""S","363 m","VFR","Sem Operação","","900 m","20 m","5600 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-5062.pdf","PA2021-5062"
"SWRC","MT0386",1,"Fazenda Sevilha","RIBEIRÃO CASCALHEIRA","MT","051°55'50""W","12°38'25""S","328 m","VFR","Sem Operação","","850 m","20 m","3000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-2400.pdf","PA2014-2400"
"","MT0497",1,"Fazenda Maringá III","VILA BELA DA SANTÍSSIMA TRINDADE","MT","060°07'30""W","14°26'50""S","204 m","VFR","Sem Operação","","1100 m","22 m","5600 Kg /   0,50 MPa","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4461.pdf","PA2021-4461"
"","MS0583",1,"Fazenda Corpus Christi","NAVIRAÍ","MS","054°18'44""W","22°53'26""S","410 m","","","","732 m","15 m","4000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7935.pdf","PA2022-7935"
"SNET","MS0205",1,"Fazenda Estrela","SIDROLÂNDIA","MS","055°12'58""W","21°16'26""S","469 m","VFR","Sem Operação","","1200 m","25 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-1969.pdf","PA2018-1969"
"SIJZ","PA0049",1,"Fazenda Vera Paz","ITAITUBA","PA","056°45'53""W","07°23'41""S","244 m","VFR","Sem Operação","","900 m","25 m","5670 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2013-2645.pdf","PA2013-2645"
"SNKV","AP0008",1,"Fazenda Campo Verde","CUTIAS","AP","050°31'01,1""W","01°02'34""N","15 m","VFR","Sem Operação","","510 m","18 m","2000 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-2724.pdf","PA2014-2724"
"SSTD","BA0164",1,"Stracci","SÃO DESIDÉRIO","BA","046°15'55""W","12°40'51""S","913 m","VFR","Sem Operação","","1125 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-3161.pdf","PA2014-3161"
"SDID","SP1246",1,"Aeroata","ARAÇATUBA","SP","050°32'03,5""W","21°15'11,4""S","421 m","VFR","Sem Operação","","800 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-1186.pdf","PA2020-1186"
"","MT0623",1,"Fazenda Santa Joana","SANTO ANTÔNIO DO LEVERGER","MT","055°13'36""W","17°14'04""S","150 m","VFR","Sem Operação","","800 m","20 m","5600 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4893.pdf","PA2021-4893"
"SDQL","MS0045",1,"Fazenda Cerro Azul","NIOAQUE","MS","055°44'03""W","21°10'59""S","289 m","VFR","Sem Operação","","1100 m","40 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-3001.pdf","PA2016-3001"
"SSHP","PR0080",1,"Fazenda Paiol do Piquiri","GOIOXIM","PR","051°55'23""W","25°02'50""S","944 m","VFR","Sem Operação","","595 m","15 m","2500 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-1284.pdf","PA2016-1284"
"SNLA","PA0096",1,"Fazenda Lagoa das Antas","CANAÃ DOS CARAJÁS","PA","049°43'30""W","06°33'53""S","270 m","VFR","VFR","","1474 m","23 m","7/F/A/X/T","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-1112.pdf","PA2015-1112"
"SNOV","AL0010",1,"Povoado de Camaçari","CORURIPE","AL","036°17'30""W","10°07'20""S","85 m","VFR","Sem Operação","","600 m","18 m","3000 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-6458.pdf","PA2021-6458"
"","PA0380",1,"Caxiuanã 3","PORTEL","PA","051°43'26""W","02°09'59""S","50,8 m","VFR","Sem Operação","","800 m","18 m","4000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.723.pdf","PA2023-12.723"
"","RS0179",1,"Fazenda Hill Valley","SÃO SEBASTIÃO DO CAÍ","RS","051°22'31""W","29°33'48""S","10 m","VFR","Sem Operação","","300 m","18 m","4700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4254.pdf","PA2021-4254"
"","RR0143",1,"Fazenda Sonho Azul","SÃO JOÃO DA BALIZA","RR","059°51'13""W","00°49'00""N","131 m","VFR","Sem Operação","","679 m","10 m","5700 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10.389.pdf","PA2023-10.389"
"SNXR","PA0112",1,"Fazenda Conforto","ITAITUBA","PA","056°31'13""W","07°23'23""S","235 m","VFR","Sem Operação","","800 m","23 m","5670 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2024-13.681.pdf","PA2024-13.681"
"SDMF","MS0038",1,"Fazenda Damaro","MIRANDA","MS","056°26'19""W","19°58'39""S","105 m","VFR","Sem Operação","","500 m","23 m","5600 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-1887.pdf","PA2015-1887"
"","PA0290",1,"NSA-PA","CUMARU DO NORTE","PA","050°59'27""W","08°27'31""S"," m","","","","800 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-6432.pdf","PA2021-6432"
"SWTN","MT0409",1,"Fazenda Arapucel","ARAPUTANGA","MT","058°43'45""W","15°02'46""S","476 m","","","","1000 m","18 m","4200 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8369.pdf","PA2022-8369"
