ANO;MES;EMPRESA;ORIGEM;DESTINO;TARIFA;ASSENTOS
2008;11;GLO;SBGL;SBGR;395,00;134
2008;11;GLO;SBSP;SBFL;359,00;709
2008;11;GLO;SBBR;SBGL;535,00;142
2008;11;GLO;SBBR;SBRF;925,00;57
2008;11;GLO;SBGO;SBBR;150,00;444
2008;11;GLO;SBGR;SBPA;179,00;997
2008;11;GLO;SBBR;SBRF;1150,00;259
2008;11;GLO;SBCY;SBSP;660,00;17
2008;11;GLO;SBSP;SBFL;595,00;24
2008;11;GLO;SBVT;SBSP;355,00;1372
2008;11;GLO;SBCY;SBSP;1090,00;88
2008;11;GLO;SBBR;SBCY;560,00;7
2008;11;GLO;SBBR;SBCY;440,00;7
2008;11;GLO;SBGL;SBPA;495,00;715
2008;11;GLO;SBFZ;SBGR;739,00;716
2008;11;GLO;SBFI;SBGR;475,00;251
2008;11;GLO;SBGO;SBBR;79,00;152
2008;11;GLO;SBGO;SBSP;505,00;9
2008;11;GLO;SBBR;SBRJ;935,00;8
2008;11;GLO;SBFZ;SBBR;855,00;33
2008;11;GLO;SBSP;SBNF;149,00;287
2008;11;GLO;SBCF;SBGL;505,00;43
2008;11;GLO;SBEG;SBBE;406,00;575
2008;11;GLO;SBGR;SBFL;475,00;13
2008;11;GLO;SBFL;SBCT;275,00;21
2008;11;GLO;SBEG;SBGR;910,00;91
2008;11;GLO;SBSV;SBSP;259,00;3877
2008;11;GLO;SBPA;SBFL;309,00;740
2008;11;GLO;SBGL;SBCT;149,00;2066
2008;11;GLO;SBSV;SBSP;855,00;93
2008;11;GLO;SBSP;SBGO;815,00;74
2008;11;GLO;SBPA;SBBR;510,00;420
2008;11;GLO;SBCT;SBPA;645,00;455
2008;11;GLO;SBCT;SBPA;355,00;253
2008;11;GLO;SBFL;SBPA;450,00;21
2008;11;GLO;SBGR;SBCF;645,00;150
2008;11;GLO;SBBR;SBRJ;515,00;10
2008;11;GLO;SBLO;SBSP;520,00;6
2008;11;GLO;SBSP;SBCT;730,00;832
2008;11;GLO;SBGL;SBBR;760,00;40
2008;11;GLO;SBSP;SBNF;475,00;10
2008;11;GLO;SBSP;SBSV;855,00;47
2008;11;GLO;SBBR;SBCY;339,00;112
2008;11;GLO;SBFL;SBGR;686,00;51
2008;11;GLO;SBRF;SBBR;569,00;1114
2008;11;GLO;SBSV;SBBR;805,00;33
2008;11;GLO;SBBR;SBSP;199,00;14
2008;11;GLO;SBFZ;SBGL;669,00;523
2008;11;GLO;SBBR;SBSP;319,00;786
2008;11;GLO;SBBR;SBCY;630,00;8
2008;11;GLO;SBBR;SBRF;695,00;128
2008;11;GLO;SBGL;SBCF;355,00;907
2008;11;GLO;SBBR;SBGL;374,00;2847
2008;11;GLO;SBUL;SBSP;259,00;59
2008;11;GLO;SBRF;SBGR;479,00;1236
2008;11;GLO;SBSV;SBBR;915,00;180
2008;11;GLO;SBBR;SBBE;755,00;26
2008;11;GLO;SBBR;SBGL;475,00;834
2008;11;GLO;SBGR;SBGL;99,00;2717
2008;11;GLO;SBSP;SBCG;810,00;1
2008;11;GLO;SBRF;SBGL;1245,00;407
2008;11;GLO;SBSP;SBRJ;379,00;4945
2008;11;GLO;SBBR;SBGO;150,00;457
2008;11;GLO;SBBR;SBFZ;269,00;1469
2008;11;GLO;SBBR;SBGO;190,00;180
2008;11;GLO;SBSP;SBCY;249,00;477
2008;11;GLO;SBGR;SBEG;910,00;73
2008;11;GLO;SBGR;SBRF;1325,00;870
2008;11;GLO;SBCF;SBGR;570,00;25
2008;11;GLO;SBFZ;SBRF;415,00;31
2008;11;GLO;SBRF;SBGR;659,00;895
2008;11;GLO;SBGR;SBBR;520,00;59
2008;11;GLO;SBBR;SBSP;505,00;681
2008;11;GLO;SBGR;SBRF;880,00;204
2008;11;GLO;SBFL;SBGR;605,00;15
2008;11;GLO;SBSP;SBGO;450,00;168
2008;11;GLO;SBBR;SBPA;745,00;55
2008;11;GLO;SBFZ;SBRF;319,00;702
2008;11;GLO;SBPA;SBGR;179,00;1663
2008;11;GLO;SBSV;SBGR;740,00;155
2008;11;GLO;SBGL;SBFZ;309,00;2776
2008;11;GLO;SBFL;SBPA;400,00;17
2008;11;GLO;SBSV;SBBR;439,00;704
